Number,Title,Author,Gender,State,Created,Closed,Number of Comments,Sentiment,Sadness,Joy,Fear,Disgust,Anger
18347,Expose Text foreground from engine,Dan,male,MERGED,2018-06-10 19:36:11,2018-06-21 00:23:51,33,-0.31,0.2682,0.3277,0.1037,0.022,0.0717
5689,Update to Dart `1.20.0-dev.1.0`.,Phil,male,MERGED,2016-08-31 21:41:53,2016-09-08 20:14:08,33,-0.4113,0.3161,0.2512,0.0956,0.0237,0.0757
117698,Improve CupertinoContextMenu to match native more,Manuel,male,MERGED,2022-12-27 21:52:17,2023-02-15 17:37:22,30,0.6129,0.2725,0.3815,0.0805,0.0311,0.0574
96774,Fix flutter web app not respecting assets path when in non-root folder,nicolasvac,none,MERGED,2022-01-18 14:45:17,2022-03-10 23:50:17,31,-0.6485,0.3952,0.1657,0.0885,0.0269,0.064
96664,fix: BottomNavigationBarItem colors,Zlati,female,CLOSED,2022-01-14 17:53:38,2022-07-19 12:32:33,31,-0.4101,0.3277,0.2656,0.0885,0.04,0.0759
82575,"[flutter] when primary mouse pointers don't contact a focused node, reset the focus",Jonah,male,MERGED,2021-05-14 21:30:23,2021-06-09 00:39:06,31,-0.3698,0.2822,0.3251,0.0893,0.0301,0.0677
75027,[flutter_tools] switch dart defines to base64 to avoid windows control characters,Jonah,male,MERGED,2021-01-29 23:10:40,2021-02-02 17:10:49,32,0.2948,0.2657,0.3293,0.1285,0.0231,0.0528
74469,Implement dartPluginClass support for plugins,Emmanuel,male,MERGED,2021-01-22 06:14:01,2021-02-19 17:22:46,32,-0.5196,0.281,0.2768,0.1562,0.028,0.0539
70747,Roll Engine from 35a0b9fe6827 to 4b859cee939a (4 revisions),engine-flutter-autoroll,none,CLOSED,2020-11-18 07:45:41,2020-11-19 17:51:34,32,-0.6855,0.2944,0.164,0.1903,0.0121,0.0577
48223,Add HeroMode widget,najeira,none,MERGED,2020-01-06 02:44:32,2020-10-31 04:23:03,32,0.3233,0.2908,0.3122,0.1153,0.0438,0.0641
29809,Fix text selection toolbar appearing under obstructions,yaheng,female,MERGED,2019-03-22 18:38:37,2019-05-06 18:18:10,32,0.6273,0.2942,0.3146,0.0798,0.0287,0.0763
5295,Update Dart SDK to `1.19.0-dev.4.0`.,Phil,male,CLOSED,2016-08-08 22:32:35,2016-08-10 23:00:14,32,0.3308,0.2761,0.3467,0.0935,0.0246,0.0722
112149,Revert file naming convention of .aar files to support fuzzy matching in build.gradle,林军华,none,MERGED,2022-09-22 06:40:23,2022-10-04 03:37:23,27,-0.3289,0.273,0.35,0.0962,0.0205,0.057
110052,Add support for image insertion on Android,Tanay,male,MERGED,2022-08-23 00:43:55,2023-01-31 19:46:19,29,0.2944,0.3093,0.3096,0.1093,0.0337,0.0577
102687,[framework] remove forced compositing from opacity,Jonah,male,CLOSED,2022-04-27 20:47:34,2022-05-26 02:00:42,25,0.4718,0.2807,0.2926,0.1226,0.0235,0.0595
91496,[Stepper] Add Alternative Label on horizontal-type Stepper,Jiun,male,MERGED,2021-10-08 16:07:10,2022-06-06 21:43:10,30,0.5905,0.2312,0.3389,0.1145,0.0319,0.0839
83530,Add a more complete app template for Flutter (skeleton),Filip,male,MERGED,2021-05-28 00:23:02,2021-06-28 22:26:05,18,0.3468,0.2357,0.4159,0.1056,0.0229,0.0534
62330,Use a LinkedList to improve the performances of ChangeNotifier,Remi,male,MERGED,2020-07-27 11:19:34,2020-08-26 18:34:03,31,-0.2718,0.3191,0.3147,0.1031,0.0281,0.0529
43735,Fixed onSort bug in data_table.dart,Ander,male,CLOSED,2019-10-29 17:25:27,2020-03-13 01:20:51,30,0.4198,0.2742,0.33,0.124,0.0276,0.0651
28152,Improve hot reload performance,Jonah,male,MERGED,2019-02-19 17:51:13,2019-03-15 22:02:46,31,-0.4115,0.3034,0.2988,0.0979,0.0234,0.0701
16705,Add support for listing and launching emulators,Danny,male,MERGED,2018-04-18 10:06:59,2018-05-09 15:04:01,31,0.2846,0.3386,0.2989,0.1015,0.0196,0.0527
99731,[Material] Create an InkSparkle splash effect that matches the Material 3 ripple effect,Anthony,male,MERGED,2022-03-08 02:50:33,2022-03-09 23:13:47,29,0.4886,0.5431,0.381,0.0171,0.0451,0.0205
97928,[defunct] MediaQuery as InheritedModel,Callum,male,CLOSED,2022-02-07 04:51:26,2022-11-01 23:44:04,28,-0.4065,0.3038,0.2888,0.1019,0.0436,0.0637
78779,Roll Plugins from d7125cdb91c0 to 8621694430d0 (12 revisions),engine-flutter-autoroll,none,CLOSED,2021-03-22 10:52:38,2021-03-23 18:47:31,30,-0.8668,0.2824,0.2223,0.1759,0.0112,0.0514
74814,Add platform view supports on Linux,Yuhui,male,CLOSED,2021-01-27 14:39:44,2022-08-31 00:57:27,29,-0.3914,0.2538,0.3335,0.1057,0.0257,0.0536
59766,FormField should autovalidate only if its content was changed (fixed),Pedro,male,MERGED,2020-06-18 14:50:16,2020-07-16 16:31:07,30,0.5036,0.2898,0.375,0.1129,0.0249,0.0483
49598,add sample code for page_storage.dart,glaze,female,CLOSED,2020-01-28 04:31:40,2020-04-08 22:17:14,30,0.3384,0.379,0.2702,0.0616,0.0291,0.0877
111852,Add `allowedButtonsFilter` to prevent Draggable from appearing with secondary click.,Bernardo,male,MERGED,2022-09-19 04:36:41,2023-01-13 05:45:50,29,-0.2829,0.2108,0.3686,0.1258,0.0379,0.0776
105836,"moving the left handle automatically scrolls EditableText to the right handle, which doesn't happen on native",takashi,male,MERGED,2022-06-11 18:11:07,2023-03-01 19:52:28,28,0.3175,0.2982,0.2692,0.102,0.0429,0.0893
101586,Feat: dSYM debug info for iOS & macOS builds,Ivan,male,MERGED,2022-04-08 15:27:14,2022-09-05 18:16:17,25,-0.3322,0.2912,0.2568,0.1321,0.0308,0.0659
85118,[integration_test] Support collecting of SkSL,Jia,female,CLOSED,2021-06-23 11:22:53,2021-12-01 00:00:03,29,0.2998,0.2555,0.3042,0.1295,0.0353,0.0798
70730,Improve performance of Widget Tests,Jia,female,MERGED,2020-11-18 00:39:11,2021-01-13 01:29:03,28,-0.4739,0.2604,0.2788,0.1238,0.0396,0.0739
70047,Roll Engine from 0f7cdca65fba to e5eea3756a9b (4 revisions),engine-flutter-autoroll,none,CLOSED,2020-11-08 10:57:42,2020-11-09 18:16:34,29,-0.6681,0.3585,0.1762,0.0719,0.0165,0.0625
37819,Add HtmlElementView (the Flutter Web platform view),Harry,male,MERGED,2019-08-07 23:02:01,2019-08-29 19:49:05,26,0.365,0.2792,0.2927,0.1423,0.0248,0.0622
